Ville,Nombre d'habitants,Type d'agglomeration
Lamballe-Armor,16689,Petite Ville
Saran,16598,Petite Ville
Ambarès-et-Lagrave,16591,Petite Ville
Saint-Jean-de-la-Ruelle,16570,Petite Ville
Orée d'Anjou,16468,Petite Ville
Valserhône,16434,Petite Ville
Sedan,16376,Petite Ville
Annonay,16359,Petite Ville
Marly-le-Roi,16352,Petite Ville
Villeneuve-Loubet,16329,Petite Ville
Loire-Authion,16293,Petite Ville
Port-de-Bouc,16290,Petite Ville
Les Herbiers,16266,Petite Ville
Morne-à-l'Eau,16223,Petite Ville
Châteaurenard,16201,Petite Ville
La Baule-Escoublac,16160,Petite Ville
Saint-Joseph,16137,Petite Ville
Elbeuf,16087,Petite Ville
Le François,16082,Petite Ville
Saint-Leu-la-Forêt,16076,Petite Ville
Guérande,16042,Petite Ville
Landerneau,16025,Petite Ville
Vauréal,16020,Petite Ville
Saint-Égrève,16015,Petite Ville
Saint-Amand-les-Eaux,15997,Petite Ville
Hayange,15994,Petite Ville
Verneuil-sur-Seine,15959,Petite Ville
Rumilly,15944,Petite Ville
Montbrison,15943,Petite Ville
Pamiers,15938,Petite Ville
Fontainebleau,15903,Petite Ville
Saint-Pierre-des-Corps,15898,Petite Ville
Hennebont,15873,Petite Ville
Toul,15857,Petite Ville
Dembeni,15848,Petite Ville
Le Pecq,15792,Petite Ville
Noisiel,15750,Petite Ville
Saint-Julien-en-Genevois,15739,Petite Ville
Montrevault-sur-Èvre,15732,Petite Ville
Domont,15685,Petite Ville
Vendôme,15680,Petite Ville
Mennecy,15669,Petite Ville
Le Bourget,15660,Petite Ville
Beaucaire,15659,Petite Ville
Le Vésinet,15619,Petite Ville
Orsay,15554,Petite Ville
Lucé,15525,Petite Ville
Fos-sur-Mer,15512,Petite Ville
Tarascon,15508,Petite Ville
Montivilliers,15500,Petite Ville
Sin-le-Noble,15442,Petite Ville
Sainte-Luce-sur-Loire,15417,Petite Ville
Wattignies,15372,Petite Ville
Château-Thierry,15306,Petite Ville
Issoire,15297,Petite Ville
Blanquefort,15276,Petite Ville
Gaillac,15245,Petite Ville
Saint-Just-Saint-Rambert,15239,Petite Ville
Guipavas,15196,Petite Ville
Saint-Avold,15171,Petite Ville
Senlis,15128,Petite Ville
Longwy,15117,Petite Ville
Carrières-sur-Seine,15115,Petite Ville
Saint-Brice-sous-Forêt,15102,Petite Ville
Pontivy,15092,Petite Ville
Rive-de-Gier,15086,Petite Ville
La Flèche,15078,Petite Ville
Saint-Avertin,15075,Petite Ville
Wittenheim,15065,Petite Ville
Trélazé,15056,Petite Ville
Bois-d'Arcy,15028,Petite Ville
Bailleul,15026,Petite Ville
Bouc-Bel-Air,14984,Petite Ville
Coulommiers,14953,Petite Ville
Vesoul,14866,Petite Ville
Sainte-Marie,14843,Petite Ville
Fameck,14829,Petite Ville
Francheville,14821,Petite Ville
Montesson,14811,Petite Ville
Saint-Omer,14782,Petite Ville
Le Raincy,14753,Petite Ville
Sainte-Maxime,14750,Petite Ville
Montargis,14738,Petite Ville
Ramonville-Saint-Agne,14730,Petite Ville
Avrillé,14727,Petite Ville
Morlaix,14709,Petite Ville
Dinan,14682,Petite Ville
Romilly-sur-Seine,14623,Petite Ville
Verrières-le-Buisson,14602,Petite Ville
Bar-le-Duc,14592,Petite Ville
Flers,14589,Petite Ville
Saint-Maurice,14560,Petite Ville
Haubourdin,14556,Petite Ville
Montmagny,14550,Petite Ville
Valenton,14538,Petite Ville
Woippy,14526,Petite Ville
Pointe-à-Pitre,14498,Petite Ville
Saint-Brevin-les-Pins,14473,Petite Ville
Plérin,14459,Petite Ville
Laxou,14445,Petite Ville
Lognes,14388,Petite Ville
Illzach,14380,Petite Ville
Bois-Guillaume,14378,Petite Ville
Castanet-Tolosan,14377,Petite Ville
Crépy-en-Valois,14365,Petite Ville
Arnouville,14364,Petite Ville
Pont-à-Mousson,14357,Petite Ville
Méru,14354,Petite Ville
Roquebrune-sur-Argens,14335,Petite Ville
Chenôve,14323,Petite Ville
Hautmont,14318,Petite Ville
Saint-Fargeau-Ponthierry,14315,Petite Ville
Tulle,14314,Petite Ville
Villers-lès-Nancy,14305,Petite Ville
Ambérieu-en-Bugey,14288,Petite Ville
Saint-Jean-de-Luz,14282,Petite Ville
Saint-Genis-Pouilly,14274,Petite Ville
Saint-Gilles,14197,Petite Ville
Auray,14155,Petite Ville
Castelsarrasin,14131,Petite Ville
